"REGION","CLIMATE","STATE","TOTAL_HOUSEHOLDS","AC_EQUIPMENT_TYPE","NUM_HOUSEHOLDS","PERCENTAGE"
"SOUTH","MIXED-HUMID","ALABAMA",1900406,"DO NOT USE AC",122867,6.5
"SOUTH","MIXED-HUMID","ALABAMA",1900406,"CENTRAL AC AND CENTRAL HEAT PUMP",1523029,80.1
"SOUTH","MIXED-HUMID","ALABAMA",1900406,"MINISPLIT",0,0
"SOUTH","MIXED-HUMID","ALABAMA",1900406,"WINDOW OR WALL AC",254510,13.4
"SOUTH","MIXED-HUMID","ALABAMA",1900406,"PORTABLE AC",0,0
"SOUTH","MIXED-HUMID","ALABAMA",1900406,"EVAPORATIVE COOLER",0,0
"WEST","VERY-COLD","ALASKA",257193,"DO NOT USE AC",239341,93.1
"WEST","VERY-COLD","ALASKA",257193,"CENTRAL AC AND CENTRAL HEAT PUMP",2178,0.8
"WEST","VERY-COLD","ALASKA",257193,"MINISPLIT",704,0.3
"WEST","VERY-COLD","ALASKA",257193,"WINDOW OR WALL AC",5243,2
"WEST","VERY-COLD","ALASKA",257193,"PORTABLE AC",9728,3.8
"WEST","VERY-COLD","ALASKA",257193,"EVAPORATIVE COOLER",0,0
"WEST","HOT-DRY","ARIZONA",2675608,"DO NOT USE AC",154065,5.8
"WEST","HOT-DRY","ARIZONA",2675608,"CENTRAL AC AND CENTRAL HEAT PUMP",2266385,84.7
"WEST","HOT-DRY","ARIZONA",2675608,"MINISPLIT",33542,1.2
"WEST","HOT-DRY","ARIZONA",2675608,"WINDOW OR WALL AC",144516,5.4
"WEST","HOT-DRY","ARIZONA",2675608,"PORTABLE AC",0,0
"WEST","HOT-DRY","ARIZONA",2675608,"EVAPORATIVE COOLER",77100,2.9
"SOUTH","MIXED-HUMID","ARKANSAS",1143632,"DO NOT USE AC",75616,6.6
"SOUTH","MIXED-HUMID","ARKANSAS",1143632,"CENTRAL AC AND CENTRAL HEAT PUMP",827291,72.3
"SOUTH","MIXED-HUMID","ARKANSAS",1143632,"MINISPLIT",8083,0.7
"SOUTH","MIXED-HUMID","ARKANSAS",1143632,"WINDOW OR WALL AC",221812,19.4
"SOUTH","MIXED-HUMID","ARKANSAS",1143632,"PORTABLE AC",10831,0.9
"SOUTH","MIXED-HUMID","ARKANSAS",1143632,"EVAPORATIVE COOLER",0,0
"WEST","HOT-DRY","CALIFORNIA",13180886,"DO NOT USE AC",3636126,27.6
"WEST","HOT-DRY","CALIFORNIA",13180886,"CENTRAL AC AND CENTRAL HEAT PUMP",6975338,52.9
"WEST","HOT-DRY","CALIFORNIA",13180886,"MINISPLIT",220448,1.7
"WEST","HOT-DRY","CALIFORNIA",13180886,"WINDOW OR WALL AC",1691006,12.8
"WEST","HOT-DRY","CALIFORNIA",13180886,"PORTABLE AC",500405,3.8
"WEST","HOT-DRY","CALIFORNIA",13180886,"EVAPORATIVE COOLER",157563,1.2
"WEST","COLD","COLORADO",2259861,"DO NOT USE AC",413840,18.3
"WEST","COLD","COLORADO",2259861,"CENTRAL AC AND CENTRAL HEAT PUMP",1278469,56.6
"WEST","COLD","COLORADO",2259861,"MINISPLIT",9715,0.4
"WEST","COLD","COLORADO",2259861,"WINDOW OR WALL AC",279224,12.4
"WEST","COLD","COLORADO",2259861,"PORTABLE AC",51657,2.3
"WEST","COLD","COLORADO",2259861,"EVAPORATIVE COOLER",226955,10
"NORTHEAST","COLD","CONNECTICUT",1381897,"DO NOT USE AC",143368,10.4
"NORTHEAST","COLD","CONNECTICUT",1381897,"CENTRAL AC AND CENTRAL HEAT PUMP",465574,33.7
"NORTHEAST","COLD","CONNECTICUT",1381897,"MINISPLIT",37470,2.7
"NORTHEAST","COLD","CONNECTICUT",1381897,"WINDOW OR WALL AC",678137,49.1
"NORTHEAST","COLD","CONNECTICUT",1381897,"PORTABLE AC",57348,4.2
"NORTHEAST","COLD","CONNECTICUT",1381897,"EVAPORATIVE COOLER",0,0
"SOUTH","MIXED-HUMID","DELAWARE",380454,"DO NOT USE AC",11548,3
"SOUTH","MIXED-HUMID","DELAWARE",380454,"CENTRAL AC AND CENTRAL HEAT PUMP",321085,84.4
"SOUTH","MIXED-HUMID","DELAWARE",380454,"MINISPLIT",6170,1.6
"SOUTH","MIXED-HUMID","DELAWARE",380454,"WINDOW OR WALL AC",41651,10.9
"SOUTH","MIXED-HUMID","DELAWARE",380454,"PORTABLE AC",0,0
"SOUTH","MIXED-HUMID","DELAWARE",380454,"EVAPORATIVE COOLER",0,0
"SOUTH","MIXED-HUMID","DISTRICT OF COLUMBIA",316453,"DO NOT USE AC",21141,6.7
"SOUTH","MIXED-HUMID","DISTRICT OF COLUMBIA",316453,"CENTRAL AC AND CENTRAL HEAT PUMP",215152,68
"SOUTH","MIXED-HUMID","DISTRICT OF COLUMBIA",316453,"MINISPLIT",4951,1.6
"SOUTH","MIXED-HUMID","DISTRICT OF COLUMBIA",316453,"WINDOW OR WALL AC",69357,21.9
"SOUTH","MIXED-HUMID","DISTRICT OF COLUMBIA",316453,"PORTABLE AC",5853,1.9
"SOUTH","MIXED-HUMID","DISTRICT OF COLUMBIA",316453,"EVAPORATIVE COOLER",0,0
