"REGION","CLIMATE","STATE","TOTAL_HOUSEHOLDS","HEATER_FUEL_TYPE","NUM_HOUSEHOLDS","PERCENTAGE"
"SOUTH","MIXED-HUMID","ALABAMA",1900406,"DO NOT USE HEATER",20602,1.1
"SOUTH","MIXED-HUMID","ALABAMA",1900406,"NATURAL GAS",534059,28.1
"SOUTH","MIXED-HUMID","ALABAMA",1900406,"PROPANE",90308,4.8
"SOUTH","MIXED-HUMID","ALABAMA",1900406,"FUEL OIL",0,0
"SOUTH","MIXED-HUMID","ALABAMA",1900406,"ELECTRICITY",1217224,64
"SOUTH","MIXED-HUMID","ALABAMA",1900406,"WOOD OR PELLETS",38213,2
"SOUTH","MIXED-HUMID","ALABAMA",1900406,"OTHER",0,0
"WEST","VERY-COLD","ALASKA",257193,"DO NOT USE HEATER",2658,1
"WEST","VERY-COLD","ALASKA",257193,"NATURAL GAS",145359,56.5
"WEST","VERY-COLD","ALASKA",257193,"PROPANE",4706,1.8
"WEST","VERY-COLD","ALASKA",257193,"FUEL OIL",61304,23.8
"WEST","VERY-COLD","ALASKA",257193,"ELECTRICITY",32607,12.7
"WEST","VERY-COLD","ALASKA",257193,"WOOD OR PELLETS",10559,4.1
"WEST","VERY-COLD","ALASKA",257193,"OTHER",0,0
"WEST","HOT-DRY","ARIZONA",2675608,"DO NOT USE HEATER",255987,9.6
"WEST","HOT-DRY","ARIZONA",2675608,"NATURAL GAS",955194,35.7
"WEST","HOT-DRY","ARIZONA",2675608,"PROPANE",54633,2
"WEST","HOT-DRY","ARIZONA",2675608,"FUEL OIL",10806,0.4
"WEST","HOT-DRY","ARIZONA",2675608,"ELECTRICITY",1356670,50.7
"WEST","HOT-DRY","ARIZONA",2675608,"WOOD OR PELLETS",42317,1.6
"WEST","HOT-DRY","ARIZONA",2675608,"OTHER",0,0
"SOUTH","MIXED-HUMID","ARKANSAS",1143632,"DO NOT USE HEATER",22897,2
"SOUTH","MIXED-HUMID","ARKANSAS",1143632,"NATURAL GAS",493335,43.1
"SOUTH","MIXED-HUMID","ARKANSAS",1143632,"PROPANE",49445,4.3
"SOUTH","MIXED-HUMID","ARKANSAS",1143632,"FUEL OIL",0,0
"SOUTH","MIXED-HUMID","ARKANSAS",1143632,"ELECTRICITY",522586,45.7
"SOUTH","MIXED-HUMID","ARKANSAS",1143632,"WOOD OR PELLETS",55370,4.8
"SOUTH","MIXED-HUMID","ARKANSAS",1143632,"OTHER",0,0
"WEST","HOT-DRY","CALIFORNIA",13180886,"DO NOT USE HEATER",1609631,12.2
"WEST","HOT-DRY","CALIFORNIA",13180886,"NATURAL GAS",8438972,64
"WEST","HOT-DRY","CALIFORNIA",13180886,"PROPANE",297771,2.3
"WEST","HOT-DRY","CALIFORNIA",13180886,"FUEL OIL",0,0
"WEST","HOT-DRY","CALIFORNIA",13180886,"ELECTRICITY",2646211,20.1
"WEST","HOT-DRY","CALIFORNIA",13180886,"WOOD OR PELLETS",188301,1.4
"WEST","HOT-DRY","CALIFORNIA",13180886,"OTHER",0,0
"WEST","COLD","COLORADO",2259861,"DO NOT USE HEATER",20322,0.9
"WEST","COLD","COLORADO",2259861,"NATURAL GAS",1724908,76.3
"WEST","COLD","COLORADO",2259861,"PROPANE",92886,4.1
"WEST","COLD","COLORADO",2259861,"FUEL OIL",0,0
"WEST","COLD","COLORADO",2259861,"ELECTRICITY",371886,16.5
"WEST","COLD","COLORADO",2259861,"WOOD OR PELLETS",49859,2.2
"WEST","COLD","COLORADO",2259861,"OTHER",0,0
"NORTHEAST","COLD","CONNECTICUT",1381897,"DO NOT USE HEATER",0,0
"NORTHEAST","COLD","CONNECTICUT",1381897,"NATURAL GAS",497775,36
"NORTHEAST","COLD","CONNECTICUT",1381897,"PROPANE",60432,4.4
"NORTHEAST","COLD","CONNECTICUT",1381897,"FUEL OIL",541740,39.2
"NORTHEAST","COLD","CONNECTICUT",1381897,"ELECTRICITY",264584,19.1
"NORTHEAST","COLD","CONNECTICUT",1381897,"WOOD OR PELLETS",17367,1.3
"NORTHEAST","COLD","CONNECTICUT",1381897,"OTHER",0,0
"SOUTH","MIXED-HUMID","DELAWARE",380454,"DO NOT USE HEATER",2710,0.7
"SOUTH","MIXED-HUMID","DELAWARE",380454,"NATURAL GAS",157301,41.4
"SOUTH","MIXED-HUMID","DELAWARE",380454,"PROPANE",34737,9.1
"SOUTH","MIXED-HUMID","DELAWARE",380454,"FUEL OIL",30438,8
"SOUTH","MIXED-HUMID","DELAWARE",380454,"ELECTRICITY",151976,40
"SOUTH","MIXED-HUMID","DELAWARE",380454,"WOOD OR PELLETS",3292,0.9
"SOUTH","MIXED-HUMID","DELAWARE",380454,"OTHER",0,0
"SOUTH","MIXED-HUMID","DISTRICT OF COLUMBIA",316453,"DO NOT USE HEATER",6381,2
"SOUTH","MIXED-HUMID","DISTRICT OF COLUMBIA",316453,"NATURAL GAS",176033,55.6
"SOUTH","MIXED-HUMID","DISTRICT OF COLUMBIA",316453,"PROPANE",0,0
"SOUTH","MIXED-HUMID","DISTRICT OF COLUMBIA",316453,"FUEL OIL",4851,1.5
"SOUTH","MIXED-HUMID","DISTRICT OF COLUMBIA",316453,"ELECTRICITY",129188,40.8
"SOUTH","MIXED-HUMID","DISTRICT OF COLUMBIA",316453,"WOOD OR PELLETS",0,0
"SOUTH","MIXED-HUMID","DISTRICT OF COLUMBIA",316453,"OTHER",0,0
"SOUTH","HOT-HUMID","FLORIDA",8062164,"DO NOT USE HEATER",2262253,28.1
"SOUTH","HOT-HUMID","FLORIDA",8062164,"NATURAL GAS",420841,5.2
"SOUTH","HOT-HUMID","FLORIDA",8062164,"PROPANE",28090,0.3
"SOUTH","HOT-HUMID","FLORIDA",8062164,"FUEL OIL",0,0
"SOUTH","HOT-HUMID","FLORIDA",8062164,"ELECTRICITY",5350981,66.4
"SOUTH","HOT-HUMID","FLORIDA",8062164,"WOOD OR PELLETS",0,0
"SOUTH","HOT-HUMID","FLORIDA",8062164,"OTHER",0,0
"SOUTH","MIXED-HUMID","GEORGIA",3881405,"DO NOT USE HEATER",57337,1.5
"SOUTH","MIXED-HUMID","GEORGIA",3881405,"NATURAL GAS",1806850,46.5
"SOUTH","MIXED-HUMID","GEORGIA",3881405,"PROPANE",178597,4.6
"SOUTH","MIXED-HUMID","GEORGIA",3881405,"FUEL OIL",10983,0.3
"SOUTH","MIXED-HUMID","GEORGIA",3881405,"ELECTRICITY",1767487,45.5
"SOUTH","MIXED-HUMID","GEORGIA",3881405,"WOOD OR PELLETS",60150,1.6
"SOUTH","MIXED-HUMID","GEORGIA",3881405,"OTHER",0,0
"WEST","HOT-HUMID","HAWAII",474378,"DO NOT USE HEATER",446946,94.2
"WEST","HOT-HUMID","HAWAII",474378,"NATURAL GAS",1622,0.3
"WEST","HOT-HUMID","HAWAII",474378,"PROPANE",1425,0.3
"WEST","HOT-HUMID","HAWAII",474378,"FUEL OIL",0,0
"WEST","HOT-HUMID","HAWAII",474378,"ELECTRICITY",24385,5.1
"WEST","HOT-HUMID","HAWAII",474378,"WOOD OR PELLETS",0,0
"WEST","HOT-HUMID","HAWAII",474378,"OTHER",0,0
"WEST","COLD","IDAHO",656511,"DO NOT USE HEATER",0,0
"WEST","COLD","IDAHO",656511,"NATURAL GAS",400853,61.1
"WEST","COLD","IDAHO",656511,"PROPANE",37308,5.7
"WEST","COLD","IDAHO",656511,"FUEL OIL",4806,0.7
"WEST","COLD","IDAHO",656511,"ELECTRICITY",171885,26.2
