"REGION","CLIMATE","STATE","TOTAL_HOUSEHOLDS","HEATING_EQUIPMENT_TYPE","NUM_HOUSEHOLDS","PERCENTAGE"
"SOUTH","MIXED-HUMID","ALABAMA",1900406,"DO NOT USE HEATER",20602,1.1
"SOUTH","MIXED-HUMID","ALABAMA",1900406,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",0,0
"SOUTH","MIXED-HUMID","ALABAMA",1900406,"CENTRAL FURNACE",848387,44.6
"SOUTH","MIXED-HUMID","ALABAMA",1900406,"CENTRAL HEAT PUMP",737754,38.8
"SOUTH","MIXED-HUMID","ALABAMA",1900406,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",53781,2.8
"SOUTH","MIXED-HUMID","ALABAMA",1900406,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",64631,3.4
"SOUTH","MIXED-HUMID","ALABAMA",1900406,"WOOD OR PELLET STOVE",22488,1.2
"SOUTH","MIXED-HUMID","ALABAMA",1900406,"PORTABLE ELECTRIC HEATER",108679,5.7
"SOUTH","MIXED-HUMID","ALABAMA",1900406,"MINISPLIT",8088,0.4
"SOUTH","MIXED-HUMID","ALABAMA",1900406,"OTHER",35997,1.9
"WEST","VERY-COLD","ALASKA",257193,"DO NOT USE HEATER",2658,1
"WEST","VERY-COLD","ALASKA",257193,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",93439,36.3
"WEST","VERY-COLD","ALASKA",257193,"CENTRAL FURNACE",94397,36.7
"WEST","VERY-COLD","ALASKA",257193,"CENTRAL HEAT PUMP",525,0.2
"WEST","VERY-COLD","ALASKA",257193,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",22237,8.7
"WEST","VERY-COLD","ALASKA",257193,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",30781,12
"WEST","VERY-COLD","ALASKA",257193,"WOOD OR PELLET STOVE",10559,4.1
"WEST","VERY-COLD","ALASKA",257193,"PORTABLE ELECTRIC HEATER",1058,0.4
"WEST","VERY-COLD","ALASKA",257193,"MINISPLIT",0,0
"WEST","VERY-COLD","ALASKA",257193,"OTHER",1539,0.6
"WEST","HOT-DRY","ARIZONA",2675608,"DO NOT USE HEATER",255987,9.6
"WEST","HOT-DRY","ARIZONA",2675608,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",7445,0.3
"WEST","HOT-DRY","ARIZONA",2675608,"CENTRAL FURNACE",1461268,54.6
"WEST","HOT-DRY","ARIZONA",2675608,"CENTRAL HEAT PUMP",670225,25
"WEST","HOT-DRY","ARIZONA",2675608,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",107475,4
"WEST","HOT-DRY","ARIZONA",2675608,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",30212,1.1
"WEST","HOT-DRY","ARIZONA",2675608,"WOOD OR PELLET STOVE",42317,1.6
"WEST","HOT-DRY","ARIZONA",2675608,"PORTABLE ELECTRIC HEATER",64725,2.4
"WEST","HOT-DRY","ARIZONA",2675608,"MINISPLIT",35955,1.3
"WEST","HOT-DRY","ARIZONA",2675608,"OTHER",0,0
"SOUTH","MIXED-HUMID","ARKANSAS",1143632,"DO NOT USE HEATER",22897,2
"SOUTH","MIXED-HUMID","ARKANSAS",1143632,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",0,0
"SOUTH","MIXED-HUMID","ARKANSAS",1143632,"CENTRAL FURNACE",689228,60.3
"SOUTH","MIXED-HUMID","ARKANSAS",1143632,"CENTRAL HEAT PUMP",216674,19
"SOUTH","MIXED-HUMID","ARKANSAS",1143632,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",46534,4.1
"SOUTH","MIXED-HUMID","ARKANSAS",1143632,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",35438,3.1
"SOUTH","MIXED-HUMID","ARKANSAS",1143632,"WOOD OR PELLET STOVE",55370,4.8
"SOUTH","MIXED-HUMID","ARKANSAS",1143632,"PORTABLE ELECTRIC HEATER",47007,4.1
"SOUTH","MIXED-HUMID","ARKANSAS",1143632,"MINISPLIT",8083,0.7
"SOUTH","MIXED-HUMID","ARKANSAS",1143632,"OTHER",22401,2
"WEST","HOT-DRY","CALIFORNIA",13180886,"DO NOT USE HEATER",1609631,12.2
"WEST","HOT-DRY","CALIFORNIA",13180886,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",118871,0.9
"WEST","HOT-DRY","CALIFORNIA",13180886,"CENTRAL FURNACE",8201073,62.2
"WEST","HOT-DRY","CALIFORNIA",13180886,"CENTRAL HEAT PUMP",408768,3.1
"WEST","HOT-DRY","CALIFORNIA",13180886,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",573695,4.3
"WEST","HOT-DRY","CALIFORNIA",13180886,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",1096560,8.3
"WEST","HOT-DRY","CALIFORNIA",13180886,"WOOD OR PELLET STOVE",188301,1.4
"WEST","HOT-DRY","CALIFORNIA",13180886,"PORTABLE ELECTRIC HEATER",822684,6.2
"WEST","HOT-DRY","CALIFORNIA",13180886,"MINISPLIT",140465,1.1
"WEST","HOT-DRY","CALIFORNIA",13180886,"OTHER",20837,0.2
"WEST","COLD","COLORADO",2259861,"DO NOT USE HEATER",20322,0.9
"WEST","COLD","COLORADO",2259861,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",200323,8.9
"WEST","COLD","COLORADO",2259861,"CENTRAL FURNACE",1733969,76.7
"WEST","COLD","COLORADO",2259861,"CENTRAL HEAT PUMP",30309,1.3
"WEST","COLD","COLORADO",2259861,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",141319,6.2
"WEST","COLD","COLORADO",2259861,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",54146,2.4
"WEST","COLD","COLORADO",2259861,"WOOD OR PELLET STOVE",49859,2.2
"WEST","COLD","COLORADO",2259861,"PORTABLE ELECTRIC HEATER",20475,0.9
